tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
0,0.2500,100,0.00,0.00,1.00,224.1,418.5,316.7,584.8,608.0,138.5,45.2,34.6,32.0,34.6,45.2,83.5,288.0,311.7,859.8,242.5,-256.0,-624.0,1.0,544.0,672.0,1.0,352.0,864.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
1,0.2500,100,0.00,0.00,1.00,224.1,418.5,316.7,584.8,608.0,138.5,45.2,34.6,32.0,34.6,45.2,83.5,288.0,311.7,859.8,242.5,-256.0,-624.0,1.0,544.0,672.0,1.0,352.0,864.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2,0.2500,100,0.00,0.00,1.00,224.1,418.5,316.7,584.8,608.0,138.5,45.2,34.6,32.0,34.6,45.2,83.5,288.0,311.7,859.8,242.5,-256.0,-624.0,1.0,544.0,672.0,1.0,352.0,864.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
3,0.2500,100,0.00,0.00,1.00,224.1,418.5,316.7,584.8,608.0,138.5,45.2,34.6,32.0,34.6,45.2,83.5,288.0,311.7,859.8,242.5,-256.0,-624.0,1.0,544.0,672.0,1.0,352.0,864.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
4,0.2500,100,0.00,0.00,1.00,224.1,418.5,316.7,584.8,608.0,138.5,45.2,34.6,32.0,34.6,45.2,83.5,288.0,311.7,859.8,242.5,-256.0,-624.0,1.0,544.0,672.0,1.0,352.0,864.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
5,0.2500,100,0.00,0.00,1.00,224.1,418.5,316.7,584.8,608.0,138.5,45.2,34.6,32.0,34.6,45.2,83.5,288.0,311.7,859.8,242.5,-256.0,-624.0,1.0,544.0,672.0,1.0,352.0,864.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
6,0.2500,100,0.00,0.00,1.00,224.1,418.5,316.7,584.8,608.0,138.5,45.2,34.6,32.0,34.6,45.2,83.5,288.0,311.7,859.8,242.5,-256.0,-624.0,1.0,544.0,672.0,1.0,352.0,864.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
7,0.2500,100,0.00,0.00,1.00,224.1,418.5,316.7,584.8,608.0,138.5,45.2,34.6,32.0,34.6,45.2,83.5,288.0,311.7,859.8,242.5,-256.0,-624.0,1.0,544.0,672.0,1.0,352.0,864.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
8,0.2500,100,0.00,0.00,1.00,224.1,418.5,316.7,584.8,608.0,138.5,45.2,34.6,32.0,34.6,45.2,83.5,288.0,311.7,859.8,242.5,-256.0,-624.0,1.0,544.0,672.0,1.0,352.0,864.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
9,0.2500,100,0.00,0.00,1.00,224.1,418.5,316.7,584.8,608.0,138.5,45.2,34.6,32.0,34.6,45.2,83.5,288.0,311.7,859.8,242.5,-256.0,-624.0,1.0,544.0,672.0,1.0,352.0,864.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
