tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
0,0.2500,71,0.00,0.00,1.00,1200.0,467.5,135.8,103.9,96.0,103.9,113.2,86.6,80.0,121.2,113.1,173.2,160.0,173.2,950.0,467.7,272.0,592.0,1.0,-656.0,-96.0,1.0,-16.0,928.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
1,0.2500,71,0.00,0.00,1.00,1200.0,467.5,135.8,103.9,96.0,103.9,113.2,86.6,80.0,121.2,113.1,173.2,160.0,173.2,950.0,467.7,272.0,592.0,1.0,-656.0,-96.0,1.0,-16.0,928.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2,0.2500,71,0.00,0.00,1.00,1200.0,467.5,135.8,103.9,96.0,103.9,113.2,86.6,80.0,121.2,113.1,173.2,160.0,173.2,950.0,467.7,272.0,592.0,1.0,-656.0,-96.0,1.0,-16.0,928.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
3,0.2500,71,0.00,0.00,1.00,1200.0,467.5,135.8,103.9,96.0,103.9,113.2,86.6,80.0,121.2,113.1,173.2,160.0,173.2,950.0,467.7,272.0,592.0,1.0,-656.0,-96.0,1.0,-16.0,928.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
4,0.2500,71,0.00,0.00,1.00,1200.0,467.5,135.8,103.9,96.0,103.9,113.2,86.6,80.0,121.2,113.1,173.2,160.0,173.2,950.0,467.7,272.0,592.0,1.0,-656.0,-96.0,1.0,-16.0,928.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
5,0.2500,71,0.00,0.00,1.00,1200.0,467.5,135.8,103.9,96.0,103.9,113.2,86.6,80.0,121.2,113.1,173.2,160.0,173.2,950.0,467.7,272.0,592.0,1.0,-656.0,-96.0,1.0,-16.0,928.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
6,0.2500,71,0.00,0.00,1.00,1200.0,467.5,135.8,103.9,96.0,103.9,113.2,86.6,80.0,121.2,113.1,173.2,160.0,173.2,950.0,467.7,272.0,592.0,1.0,-656.0,-96.0,1.0,-16.0,928.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
7,0.2500,71,0.00,0.00,1.00,1200.0,467.5,135.8,103.9,96.0,103.9,113.2,86.6,80.0,121.2,113.1,173.2,160.0,173.2,950.0,467.7,272.0,592.0,1.0,-656.0,-96.0,1.0,-16.0,928.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
8,0.2500,71,0.00,0.00,1.00,1200.0,467.5,135.8,103.9,96.0,103.9,113.2,86.6,80.0,121.2,113.1,173.2,160.0,173.2,950.0,467.7,272.0,592.0,1.0,-656.0,-96.0,1.0,-16.0,928.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
9,0.2500,71,0.00,0.00,1.00,1200.0,467.5,135.8,103.9,96.0,103.9,113.2,86.6,80.0,121.2,113.1,173.2,160.0,173.2,950.0,467.7,272.0,592.0,1.0,-656.0,-96.0,1.0,-16.0,928.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
